,faila_nosaukums,VISS_KERMENIS,KERMENA_DALAS,GALVA_UN_DALAS,CITI_VARDI,TOTAL,tokens_count,kv_procentos
149,1938BendrupeMirdzaSmiekligaisUnVinaSirdsStasts,0.0972,0.7774,1.2279,0.0972,249,11320,2.2
217,1978BelsevicaVizmaNudeliteStasts,0.0288,0.9804,0.8362,0.346,76,3468,2.19
157,1939VikaHildaMasaKarijaStasts,0.0479,0.8626,1.198,0.0719,182,8347,2.18
101,1928BendrupeLijaZemgalesMeiteneStasts,0.0131,0.8756,1.15,0.1307,166,7652,2.17
80,1925ZamaicaLucijaZentaStasts,0.2106,0.8425,1.0005,0.1053,41,1899,2.16
250,1994VeisbergaBenitaElēģija,0.0705,0.7989,1.2218,0.0705,92,4256,2.16
28,1905BirzniekuSofijaIzMusuDienamStasts,0.0676,0.8784,1.0811,0.1014,63,2960,2.13
195,1968EzeraReginaGaujasAkvarelisStasts,0.0373,1.0813,0.7084,0.2983,57,2682,2.13
190,1965KovalevskaMargaritaKadsFragmentsSkice,0.1035,0.6725,1.2416,0.1035,41,1933,2.12
150,1938BendrupeMirdzaSvesaVainaStasts,0.201,0.4523,1.3065,0.1508,42,1990,2.11
199,1970DelleVilmaPrinceseStasts,0.0149,0.8364,1.1202,0.1344,141,6695,2.11
86,1927BrodeleAnnaNaktstaurinaPiedzimsanaStasts,0.0914,0.9137,1.0964,0.0,46,2189,2.1
167,1952LiepaRitaMazurkaStasts,0.1401,0.9809,0.8407,0.1401,45,2141,2.1
156,1939LiepaRitaSievaNaktiTelojums,0.0997,0.5982,1.0967,0.2991,21,1003,2.09
145,1938BendrupeMirdzaMargrietasPastardienaStasts,0.0592,0.7394,1.1831,0.1035,141,6762,2.09
168,1953LeimaneIlonaPurpuraPardevejaStasts,0.0531,0.7966,1.0621,0.1593,39,1883,2.07
44,1907ZemgaliesuBirutaPaVientuluTekuSkice,0.1336,1.2472,0.5345,0.1336,46,2245,2.05
151,1938BendrupeMirdzaSvetaisCuculisStasts,0.0929,0.7896,1.1147,0.0464,44,2153,2.04
113,1929DelleVilmaLulūStasts,0.0636,0.8272,1.05,0.0955,64,3143,2.04
176,1958EzeraReginaSapesStasts,0.0996,0.6472,1.0621,0.2323,123,6026,2.04
51,1913GailiteAngelikaDzimteneTelojums,0.4073,0.8147,0.8147,0.0,10,491,2.04
70,1925BaumaneAlijaPiedzīvojumsStasts,0.2067,0.7028,1.0335,0.0827,49,2419,2.03
242,1990NeiburgaAndraVasarasPierakstiStasts,0.1344,0.7054,0.9237,0.2687,121,5954,2.03
78,1925ZamaicaLucijaMuksStefansUnNelijaStasts,0.24,0.5281,1.1522,0.096,42,2083,2.02
48,1912RumaneMatesBedasStasts,0.1958,0.8199,0.8689,0.1346,330,16343,2.02
83,1926ProrinaElzaDendijsUnUbagsTelojums,0.183,0.6404,1.0979,0.0915,22,1093,2.01
112,1929DelleVilmaDizaisBucinsStasts,0.0626,1.0111,0.8858,0.0179,221,11176,1.98
71,1925KlieneElijaPēdejāKvēleStasts,0.0979,0.4407,1.2733,0.1469,80,4084,1.96
233,1984RepseGundegaNelaimigaPalmaStasts,0.0294,0.8514,0.9689,0.0881,66,3406,1.94
204,1971EkaAliseMezaGustekneStasts,0.1689,0.8109,0.8278,0.1352,115,5919,1.94
35,1906ZemgaliesuBirutaMirkliSkice,0.1362,0.545,1.0899,0.1362,14,734,1.91
33,1906ZemgaliesuBirutaDzivesSalkumsStasts,0.0597,0.7564,0.9952,0.0796,95,5024,1.89
25,1904BirzniekuLatinaPecGadiemStasts,0.1201,0.9211,0.7609,0.0801,47,2497,1.88
169,1955BelsevicaVizmaZirneklisSkice,0.0988,0.9881,0.4941,0.2964,19,1012,1.88
213,1975EzeraReginaAcisStasts,0.0441,0.7496,0.8377,0.2425,85,4536,1.87
62,1921ZamaicaLucijaVestuleTelojums,0.1554,0.3108,0.6216,0.777,24,1287,1.86
30,1905ZemgaliesuBirutaKadasJaunibasGalsStasts,0.1221,0.6595,0.8549,0.2198,76,4094,1.86
133,1935TirzmalieteSievieteStasts,0.0463,0.8755,0.825,0.1179,443,23758,1.86
247,1993NeiburgaAndraDzeltenaisPrieksStasts,0.1044,0.548,0.9916,0.2088,71,3832,1.85
109,1928PrusaEmilijaIlzīteStasts,0.1133,0.5287,1.0196,0.1888,49,2648,1.85
148,1938BendrupeMirdzaNokertsUnPieradinatsStasts,0.043,0.7098,0.968,0.086,84,4649,1.81
16,1902RumaneDzivotGribasSkice,0.2016,0.4032,0.9073,0.3024,18,992,1.81
185,1964OzolinaAinaSveikaJaunaDienaStasts,0.0,0.8728,0.8728,0.0582,93,5156,1.8
211,1974LuginskaRitaJuraSmarzoPecVijolitemStasts,0.0191,0.4591,1.1285,0.1913,94,5228,1.8
40,1907ZemgaliesuBirutaBijisTalantsSkice,0.0,0.4721,1.1331,0.1889,19,1059,1.79
181,1961SkipsnaIlzePusePatiesibasStasts,0.0275,0.8242,0.8516,0.0824,65,3640,1.79
18,1902RumaneJurasSpekaTelojums,0.1183,1.0651,0.355,0.2367,15,845,1.78
226,1983AistaraZintaIegulditajsStasts,0.072,0.9366,0.6484,0.1081,49,2776,1.77
104,1928GrimmaMartaPeldētājaZuzannaStasts,0.164,0.5331,1.0047,0.0615,86,4877,1.76
